time,tls,phase,qi,qj,ai
61,B0,2,1,3,84
61,B0,3,0,2,14
61,B1,0,18,3,26
61,B1,1,0,0,0
61,B1,2,0,4,26
61,B1,3,0,0,0
61,C1,0,1,0,126
61,C1,1,0,0,14
61,C1,2,3,0,84
61,C1,3,0,0,14
62,B0,0,0,2,144
62,B0,1,0,1,16
62,B0,2,1,2,96
62,B0,3,0,1,16
62,C1,0,2,2,144
62,C1,1,1,0,16
62,C1,2,4,1,96
62,C1,3,1,0,16
63,B0,0,0,0,162
63,B0,1,0,0,18
63,B0,2,1,0,108
63,B0,3,0,0,18
63,C1,0,0,1,162
63,C1,1,0,0,18
63,C1,2,6,1,108
63,C1,3,0,0,18
64,B0,0,0,0,180
64,B0,1,0,0,20
64,B0,2,1,0,120
64,B0,3,0,0,20
64,C1,0,1,1,180
64,C1,1,0,0,20
64,C1,2,6,1,120
64,C1,3,0,0,20
65,B0,0,0,1,198
65,B0,1,0,0,22
65,B0,2,1,1,132
65,B0,3,0,0,22
65,C1,0,2,2,198
65,C1,1,1,0,22
65,C1,2,7,1,132
65,C1,3,1,0,22
66,B0,0,0,0,216
66,B0,1,0,0,24
66,B0,2,1,0,144
66,B0,3,0,0,24
66,C1,0,0,2,216
66,C1,1,0,0,24
66,C1,2,6,2,144
66,C1,3,0,0,24
67,B0,0,0,0,234
67,B0,1,0,0,26
67,B0,2,1,0,156
67,B0,3,0,0,26
67,C1,0,0,3,234
67,C1,1,0,0,26
67,C1,2,6,3,156
67,C1,3,0,0,26
68,B0,0,0,1,252
68,B0,1,0,0,28
68,B0,2,1,1,168
68,B0,3,0,0,28
68,C1,0,2,4,252
68,C1,1,1,0,28
68,C1,2,10,3,168
68,C1,3,1,0,28
69,B0,0,0,0,270
69,B0,1,0,0,30
69,B0,2,1,0,180
69,B0,3,0,0,30
69,C1,0,0,3,270
69,C1,1,0,0,30
69,C1,2,9,3,180
69,C1,3,0,0,30
70,A1,0,15,1,18
70,A1,1,0,0,2
70,A1,2,0,1,12
70,A1,3,0,0,2
70,B0,0,0,0,288
70,B0,1,0,0,32
70,B0,2,1,0,192
70,B0,3,0,0,32
70,B2,0,8,0,18
70,B2,1,0,0,2
70,B2,2,0,0,12
70,B2,3,0,0,2
70,C1,0,0,4,288
70,C1,1,0,1,32
70,C1,2,9,4,192
70,C1,3,0,1,32
71,B0,0,1,1,306
71,B0,1,0,0,34
71,B0,2,1,1,204
71,B0,3,0,0,34
71,C1,0,2,7,306
71,C1,1,1,2,34
71,C1,2,13,6,204
71,C1,3,1,2,34
72,B0,0,0,0,324
72,B0,1,0,0,36
72,B0,2,2,0,216
72,B0,3,0,0,36
72,C1,0,0,6,324
72,C1,1,0,2,36
72,C1,2,15,6,216
72,C1,3,0,2,36
73,B0,0,0,0,342
73,B0,1,0,0,38
73,B0,2,1,0,228
73,B0,3,0,0,38
73,C1,0,0,7,342
73,C1,1,0,3,38
73,C1,2,15,7,228
73,C1,3,0,3,38
74,B0,0,1,1,360
74,B0,1,0,0,40
74,B0,2,1,1,240
74,B0,3,0,0,40
74,C1,0,1,8,360
74,C1,1,0,3,40
74,C1,2,18,7,240
74,C1,3,0,3,40
75,B0,0,0,0,378
75,B0,1,0,0,42
75,B0,2,1,0,252
75,B0,3,0,0,42
75,C1,0,0,8,378
75,C1,1,0,4,42
75,C1,2,18,8,252
75,C1,3,0,4,42
76,B0,0,0,0,396
76,B0,1,0,0,44
76,B0,2,2,0,264
76,B0,3,0,0,44
76,B1,0,3,9,26
76,B1,1,0,0,0
76,B1,2,28,15,26
76,B1,3,0,0,0
76,C1,0,0,8,396
76,C1,1,0,4,44
76,C1,2,18,8,264
76,C1,3,0,4,44
77,B0,0,0,0,414
77,B0,1,0,0,46
77,B0,2,1,0,276
77,B0,3,0,0,46
77,C1,0,1,7,414
77,C1,1,0,3,46
77,C1,2,19,6,276
77,C1,3,0,3,46
78,B0,0,0,0,432
78,B0,1,0,0,48
78,B0,2,1,0,288
78,B0,3,0,0,48
78,C1,0,0,5,432
78,C1,1,0,2,48
78,C1,2,19,5,288
78,C1,3,0,2,48
79,B0,0,1,0,450
79,B0,1,0,0,50
79,B0,2,2,0,300
79,B0,3,0,0,50
79,C1,0,0,3,450
79,C1,1,0,1,50
79,C1,2,19,3,300
79,C1,3,0,1,50
80,B0,0,0,0,468
80,B0,1,0,0,52
80,B0,2,1,0,312
80,B0,3,0,0,52
80,C1,0,1,3,468
80,C1,1,0,1,52
80,C1,2,19,2,312
80,C1,3,0,1,52
85,A1,0,5,1,18
85,A1,1,1,0,2
85,A1,2,5,0,12
85,A1,3,1,0,2
85,B2,0,0,7,18
85,B2,1,0,2,2
85,B2,2,15,7,12
85,B2,3,0,2,2
86,A1,0,7,0,36
86,A1,1,0,0,4
86,A1,2,6,0,24
86,A1,3,0,0,4
87,A1,0,9,0,54
87,A1,1,0,0,6
87,A1,2,7,0,36
87,A1,3,0,0,6
88,A1,0,9,1,72
88,A1,1,0,0,8
88,A1,2,6,0,48
88,A1,3,0,0,8
89,A1,0,13,0,90
89,A1,1,0,0,10
89,A1,2,6,0,60
89,A1,3,0,0,10
90,A1,0,12,0,108
90,A1,1,0,0,12
90,A1,2,9,0,72
90,A1,3,0,0,12
91,A1,0,15,1,126
91,A1,1,0,0,14
91,A1,2,9,0,84
91,A1,3,0,0,14
91,B1,0,25,17,26
91,B1,1,0,0,0
91,B1,2,2,23,26
91,B1,3,0,0,0
92,A1,0,13,1,144
92,A1,1,0,1,16
92,A1,2,10,1,96
92,A1,3,0,1,16
93,A1,0,9,1,162
93,A1,1,0,1,18
93,A1,2,9,1,108
93,A1,3,0,1,18
94,A1,0,6,2,180
94,A1,1,0,1,20
94,A1,2,9,1,120
94,A1,3,0,1,20
95,A1,0,6,2,198
95,A1,1,0,2,22
95,A1,2,10,2,132
95,A1,3,0,2,22
95,B0,0,0,1,18
95,B0,1,0,0,2
95,B0,2,17,1,12
95,B0,3,0,0,2
95,C1,0,0,1,18
95,C1,1,0,1,2
95,C1,2,19,1,12
95,C1,3,0,1,2
96,A1,0,4,1,216
96,A1,1,0,1,24
96,A1,2,9,1,144
96,A1,3,0,1,24
97,A1,0,0,2,234
97,A1,1,0,1,26
97,A1,2,9,1,156
97,A1,3,0,1,26
98,A1,0,0,1,252
98,A1,1,0,1,28
98,A1,2,10,1,168
98,A1,3,0,1,28
99,A1,0,1,1,270
99,A1,1,0,1,30
99,A1,2,10,1,180
99,A1,3,0,1,30
100,A1,0,0,2,288
100,A1,1,0,2,32
100,A1,2,10,2,192
100,A1,3,0,2,32
100,B2,0,12,2,18
100,B2,1,0,0,2
100,B2,2,0,2,12
100,B2,3,0,0,2
101,A1,0,0,2,306
101,A1,1,0,2,34
101,A1,2,11,2,204
101,A1,3,0,2,34
102,A1,0,0,3,324
102,A1,1,0,3,36
102,A1,2,10,3,216
102,A1,3,0,3,36
103,A1,0,0,3,342
103,A1,1,0,3,38
103,A1,2,10,3,228
103,A1,3,0,3,38
104,A1,0,0,3,360
104,A1,1,0,3,40
104,A1,2,12,3,240
104,A1,3,0,3,40
105,A1,0,3,4,378
105,A1,1,0,4,42
105,A1,2,11,4,252
105,A1,3,0,4,42
106,A1,0,4,4,396
106,A1,1,0,4,44
106,A1,2,11,4,264
106,A1,3,0,4,44
106,B1,0,15,12,26
106,B1,1,0,0,0
106,B1,2,20,12,26
106,B1,3,0,0,0
107,A1,0,6,4,414
107,A1,1,0,4,46
107,A1,2,12,4,276
107,A1,3,0,4,46
108,A1,0,6,3,432
108,A1,1,0,3,48
108,A1,2,14,3,288
108,A1,3,0,3,48
109,A1,0,7,2,450
109,A1,1,0,2,50
109,A1,2,15,2,300
109,A1,3,0,2,50
110,A1,0,9,3,468
110,A1,1,0,2,52
110,A1,2,16,3,312
110,A1,3,0,2,52
110,B0,0,11,4,18
110,B0,1,0,1,2
110,B0,2,0,3,12
110,B0,3,0,1,2
110,C1,0,12,2,18
110,C1,1,0,1,2
110,C1,2,0,2,12
110,C1,3,0,1,2
115,B2,0,9,2,18
115,B2,1,0,0,2
115,B2,2,24,2,12
115,B2,3,0,0,2
121,B1,0,33,35,26
121,B1,1,0,0,0
121,B1,2,12,32,26
121,B1,3,0,0,0
125,A1,0,3,4,18
125,A1,1,0,1,2
125,A1,2,34,4,12
125,A1,3,0,1,2
125,B0,0,0,0,18
125,B0,1,0,0,2
125,B0,2,22,0,12
125,B0,3,0,0,2
125,C1,0,9,5,18
125,C1,1,0,1,2
125,C1,2,8,4,12
125,C1,3,0,1,2
126,C1,0,6,3,36
126,C1,1,0,1,4
126,C1,2,9,3,24
126,C1,3,0,1,4
127,C1,0,3,5,54
127,C1,1,0,2,6
127,C1,2,8,5,36
127,C1,3,0,2,6
128,C1,0,0,7,72
128,C1,1,0,3,8
128,C1,2,8,7,48
128,C1,3,0,3,8
130,B2,0,24,5,18
130,B2,1,0,0,2
130,B2,2,13,4,12
130,B2,3,0,0,2
136,B1,0,9,20,26
136,B1,1,0,0,0
136,B1,2,67,15,26
136,B1,3,0,0,0
140,A1,0,30,6,18
140,A1,1,0,0,2
140,A1,2,0,6,12
140,A1,3,0,0,2
140,B0,0,27,1,18
140,B0,1,2,0,2
140,B0,2,2,1,12
140,B0,3,2,0,2
143,C1,0,15,9,18
143,C1,1,0,6,2
143,C1,2,0,9,12
143,C1,3,0,6,2
145,B2,0,9,3,18
145,B2,1,0,2,2
145,B2,2,24,3,12
145,B2,3,0,2,2
151,B1,0,40,44,26
151,B1,1,0,0,0
151,B1,2,32,41,26
151,B1,3,0,0,0
155,A1,0,9,4,18
155,A1,1,0,0,2
155,A1,2,36,4,12
155,A1,3,0,0,2
155,B0,0,13,4,18
155,B0,1,0,0,2
155,B0,2,27,4,12
155,B0,3,0,0,2
158,C1,0,19,10,18
158,C1,1,0,1,2
158,C1,2,16,10,12
158,C1,3,0,1,2
159,C1,0,21,12,36
159,C1,1,0,3,4
159,C1,2,16,12,24
159,C1,3,0,3,4
160,B2,0,26,2,18
160,B2,1,0,0,2
160,B2,2,12,2,12
160,B2,3,0,0,2
160,C1,0,23,13,54
160,C1,1,1,3,6
160,C1,2,21,12,36
160,C1,3,1,3,6
161,C1,0,25,14,72
161,C1,1,0,4,8
161,C1,2,20,14,48
161,C1,3,0,4,8
162,C1,0,24,14,90
162,C1,1,0,5,10
162,C1,2,20,14,60
162,C1,3,0,5,10
163,C1,0,29,15,108
163,C1,1,1,6,12
163,C1,2,21,14,72
163,C1,3,1,6,12
164,C1,0,31,15,126
164,C1,1,0,6,14
164,C1,2,20,15,84
164,C1,3,0,6,14
165,C1,0,30,16,144
165,C1,1,0,7,16
165,C1,2,20,16,96
165,C1,3,0,7,16
166,B1,0,8,22,26
166,B1,1,0,0,0
166,B1,2,71,22,26
166,B1,3,0,0,0
166,C1,0,35,16,162
166,C1,1,1,7,18
166,C1,2,21,15,108
166,C1,3,1,7,18
167,C1,0,34,14,180
167,C1,1,0,7,20
167,C1,2,20,14,120
167,C1,3,0,7,20
168,C1,0,34,12,198
168,C1,1,0,6,22
168,C1,2,17,12,132
168,C1,3,0,6,22
169,C1,0,35,13,216
169,C1,1,1,6,24
169,C1,2,15,13,144
169,C1,3,1,6,24
170,A1,0,28,12,18
170,A1,1,0,3,2
170,A1,2,0,12,12
170,A1,3,0,3,2
170,B0,0,28,4,18
170,B0,1,0,1,2
170,B0,2,1,4,12
170,B0,3,0,1,2
170,C1,0,34,14,234
170,C1,1,0,8,26
170,C1,2,12,14,156
170,C1,3,0,8,26
171,C1,0,36,10,252
171,C1,1,0,6,28
171,C1,2,12,10,168
171,C1,3,0,6,28
172,C1,0,38,9,270
172,C1,1,1,6,30
172,C1,2,13,9,180
172,C1,3,1,6,30
173,C1,0,33,6,288
173,C1,1,0,4,32
173,C1,2,12,6,192
173,C1,3,0,4,32
174,C1,0,30,3,306
174,C1,1,0,3,34
174,C1,2,15,3,204
174,C1,3,0,3,34
175,B2,0,0,9,18
175,B2,1,0,5,2
175,B2,2,28,9,12
175,B2,3,0,5,2
175,C1,0,29,3,324
175,C1,1,1,3,36
175,C1,2,16,3,216
175,C1,3,1,3,36
176,C1,0,24,2,342
176,C1,1,0,1,38
176,C1,2,18,2,228
176,C1,3,0,1,38
177,C1,0,21,2,360
177,C1,1,0,1,40
177,C1,2,18,2,240
177,C1,3,0,1,40
178,C1,0,18,3,378
178,C1,1,0,1,42
178,C1,2,21,3,252
178,C1,3,0,1,42
179,C1,0,18,2,396
179,C1,1,0,0,44
179,C1,2,24,2,264
179,C1,3,0,0,44
180,C1,0,15,1,414
180,C1,1,0,0,46
180,C1,2,24,1,276
180,C1,3,0,0,46
181,B1,0,44,50,26
181,B1,1,0,0,0
181,B1,2,21,51,26
181,B1,3,0,0,0
181,C1,0,17,2,432
181,C1,1,1,0,48
181,C1,2,25,2,288
181,C1,3,1,0,48
182,C1,0,15,3,450
182,C1,1,0,1,50
182,C1,2,24,3,300
182,C1,3,0,1,50
183,C1,0,12,3,468
183,C1,1,0,0,52
183,C1,2,24,3,312
183,C1,3,0,0,52
185,A1,0,12,2,18
185,A1,1,0,1,2
185,A1,2,30,2,12
185,A1,3,0,1,2
185,B0,0,24,1,18
185,B0,1,0,0,2
185,B0,2,24,1,12
185,B0,3,0,0,2
186,B0,0,18,1,36
186,B0,1,0,0,4
186,B0,2,27,1,24
186,B0,3,0,0,4
190,B2,0,35,5,18
190,B2,1,2,1,2
190,B2,2,2,5,12
190,B2,3,2,1,2
196,B1,0,21,38,26
196,B1,1,0,0,0
196,B1,2,62,39,26
196,B1,3,0,0,0
198,C1,0,0,10,18
198,C1,1,0,7,2
198,C1,2,39,10,12
198,C1,3,0,7,2
200,A1,0,30,10,18
200,A1,1,0,4,2
200,A1,2,1,10,12
200,A1,3,0,4,2
201,B0,0,19,0,18
201,B0,1,0,0,2
201,B0,2,15,0,12
201,B0,3,0,0,2
205,B2,0,15,11,18
205,B2,1,0,3,2
205,B2,2,34,11,12
205,B2,3,0,3,2
211,B1,0,56,38,26
211,B1,1,0,0,0
211,B1,2,0,35,26
211,B1,3,0,0,0
213,C1,0,31,2,18
213,C1,1,3,2,2
213,C1,2,6,2,12
213,C1,3,3,2,2
215,A1,0,10,1,18
215,A1,1,0,1,2
215,A1,2,22,1,12
215,A1,3,0,1,2
216,B0,0,15,5,18
216,B0,1,0,0,2
216,B0,2,30,5,12
216,B0,3,0,0,2
220,B2,0,39,10,18
220,B2,1,1,5,2
220,B2,2,4,10,12
220,B2,3,1,5,2
226,B1,0,26,15,26
226,B1,1,0,0,0
226,B1,2,73,19,26
226,B1,3,0,0,0
228,C1,0,23,15,18
228,C1,1,0,8,2
228,C1,2,26,15,12
228,C1,3,0,8,2
230,A1,0,23,11,18
230,A1,1,0,6,2
230,A1,2,3,11,12
230,A1,3,0,6,2
231,B0,0,31,8,18
231,B0,1,0,1,2
231,B0,2,0,8,12
231,B0,3,0,1,2
235,B2,0,12,10,18
235,B2,1,0,4,2
235,B2,2,17,9,12
235,B2,3,0,4,2
241,B1,0,71,24,26
241,B1,1,0,0,0
